img,What_does_the_text_on_image_say?,How_many_people_are_in_the_image?,Can_you_summarize_the_image_in_brief?,task
1118696772908584960.jpg,Infanticide: The Crime of Killing Child Within a Year of Birth,There are no people in the image.,infanticide the crime of killing a child within a year of birth,abortion
1303311940664438790.jpg,Busting one myth a day,There are no people in the image.,busting one myth a day,abortion
1158568057297444864.jpg,precious at every stage,There are a large number of people in the image.,"The image depicts a group of people holding signs in support of a specific cause or issue. There is a large group of people lined up on the side of a street, with many of them holding signs that read ""Precious at Every Stage"" or ""Precious at Every Stage"". Some of the signs may be related to a specific event, such as a protest or a rally.",abortion
1204459452532834304.jpg,generation equality,There are two people in the image.,"The image shows a young woman holding a sign that reads ""you are not a mom"" in front of a field of flowers. The girl is wearing a gray sweatshirt with the words ""you are not a mom"" written on it.",abortion
1083695299703517184.jpg,truly children are a gift from the lord the fruit of the womb is a reward,There are two people in the image.,"children are a gift from the lord, the fruit of the womb is a reward",abortion
1289286378874839040.jpg,cheers to contraceptives,There are two people in the image.,a purple card with the text cheers to contraceptives,abortion
1172796352834822144.jpg,resistance is a duty until women have access to abortion,There are no people in the image.,resistance is a duty until women have access to abortion,abortion
1053289426196070401.jpg,fists,There are three people in the image.,"The image features a group of people holding their fists up in front of a white background, with a baby's fist in the middle. The hands represent the hands of a parent and a child, which can be a sign of affection or support.",abortion
1366433789229096967.jpg,Everyone deserves a birthday Have a march birthday?,There are two people in the image.,a photo of a baby sitting in the grass with flowers and the text everyone deserves a birthday has a march birthday start facebook fundraiser,abortion
1224774671071154177.jpg,"3, 000 children killed today in terrible massacre",There are no people in the image.,an empty waiting room with a sign that reads 3000 children killed today in terrible massacre,abortion
1098995846186704897.jpg,supreme court,There are no people in the image.,"The image features a black and white photo of the supreme court building at night. There are several steps leading up to the building, which can be used to enter or exit the building.",abortion
1035122428295434242.jpg,nothing,There are no people in the image.,"The image depicts a medical room with a bed, a table, and a chair. There is also a light fixture hanging above the bed, which adds to the overall ambience of the room. There is also a sink in the corner of the room, which could be used for washing hands or washing the patient's clothes. Additionally, there is a toilet in the corner of the room, which could be used for washing hands or washing the patient's clothes.",abortion
1198977753636200449.jpg,how to be pro life,There are no people in the image.,a poster with the words how to be pro life,abortion
1023320371733381127.jpg,nothing,There are several people in the image.,"The image shows a woman giving a speech at a podium in a church. There is a stained glass window behind the podium, which adds to the visual appeal of the church. There are several people sitting in the pews around the podium, which suggests that there are many people in the church.",abortion
